"Cluster ID","URL","Page type","Parent hub","Primary keyword hypothesis","Secondary keyword hypotheses","Search intent","Funnel stage","Conversion role","Geographic modifier","Product/category modifier","Condition modifier","Existing title","Existing H1","Competing URLs","Cannibalization risk","Current internal links in","Current internal links out","Recommended action","Evidence status","GSC validation required","Priority","Notes"
"MOBILE-APPLE","/รับซื้อแท็บเล็ต-โคราช","Product category","/รับซื้อโทรศัพท์มือถือ-โคราช","รับซื้อแท็บเล็ต โคราช ประเมินผ่าน LINE นัดรับตามสะดวก","mobile apple; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","MOBILE-APPLE","none","รับซื้อแท็บเล็ต โคราช | iPad Samsung ประเมินผ่าน LINE | WINNER IT","รับซื้อแท็บเล็ต โคราช ประเมินผ่าน LINE นัดรับตามสะดวก","/รับซื้อ-apple-watch-โคราช | /รับซื้อ-imac-mac-mini-โคราช | /รับซื้อ-ipad-โคราช | /รับซื้อ-iphone-โคราช | /รับซื้อ-macbook-โคราช | /รับซื้อโทรศัพท์-android-โคราช | /รับซื้อโทรศัพท์-oppo-โคราช | /รับซื้อโทรศัพท์-samsung-โคราช | /รับซื้อโทรศัพท์-vivo-โคราช | /รับซื้อโทรศัพท์-xiaomi-redmi-poco-โคราช | /รับซื้อโทรศัพท์จอแตก-โคราช | /รับซื้อโทรศัพท์มือถือ-โคราช","candidate","7","27","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"COMPUTER","/รับซื้อแรม-โคราช","Product category","/รับซื้อคอมพิวเตอร์-โคราช","รับซื้อแรม โคราช","computer; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","COMPUTER","none","รับซื้อแรม โคราช RAM DDR4 DDR5 มือสอง | WINNER IT","รับซื้อแรม โคราช","/รับซื้อ-cpu-โคราช | /รับซื้อ-server-network-โคราช | /รับซื้อ-ssd-hdd-โคราช | /รับซื้อการ์ดจอ-โคราช | /รับซื้อคอมพิวเตอร์-โคราช | /รับซื้อคอมเก่า-โคราช | /รับซื้ออุปกรณ์คอมพิวเตอร์-โคราช | /รับซื้อเมนบอร์ด-โคราช","candidate","1","21","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"MOBILE-APPLE","/รับซื้อโทรศัพท์-android-โคราช","Product category","/รับซื้อโทรศัพท์มือถือ-โคราช","รับซื้อโทรศัพท์ Android โคราช ประเมินผ่าน LINE","mobile apple; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","MOBILE-APPLE","none","รับซื้อโทรศัพท์ Android โคราช | ประเมินผ่าน LINE | WINNER IT","รับซื้อโทรศัพท์ Android โคราช ประเมินผ่าน LINE","/รับซื้อ-apple-watch-โคราช | /รับซื้อ-imac-mac-mini-โคราช | /รับซื้อ-ipad-โคราช | /รับซื้อ-iphone-โคราช | /รับซื้อ-macbook-โคราช | /รับซื้อแท็บเล็ต-โคราช | /รับซื้อโทรศัพท์-oppo-โคราช | /รับซื้อโทรศัพท์-samsung-โคราช | /รับซื้อโทรศัพท์-vivo-โคราช | /รับซื้อโทรศัพท์-xiaomi-redmi-poco-โคราช | /รับซื้อโทรศัพท์จอแตก-โคราช | /รับซื้อโทรศัพท์มือถือ-โคราช","candidate","5","28","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"MOBILE-APPLE","/รับซื้อโทรศัพท์-oppo-โคราช","Product category","/รับซื้อโทรศัพท์มือถือ-โคราช","รับซื้อโทรศัพท์ OPPO โคราช ประเมินผ่าน LINE","mobile apple; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","MOBILE-APPLE","none","รับซื้อโทรศัพท์ OPPO โคราช | ประเมินผ่าน LINE | WINNER IT","รับซื้อโทรศัพท์ OPPO โคราช ประเมินผ่าน LINE","/รับซื้อ-apple-watch-โคราช | /รับซื้อ-imac-mac-mini-โคราช | /รับซื้อ-ipad-โคราช | /รับซื้อ-iphone-โคราช | /รับซื้อ-macbook-โคราช | /รับซื้อแท็บเล็ต-โคราช | /รับซื้อโทรศัพท์-android-โคราช | /รับซื้อโทรศัพท์-samsung-โคราช | /รับซื้อโทรศัพท์-vivo-โคราช | /รับซื้อโทรศัพท์-xiaomi-redmi-poco-โคราช | /รับซื้อโทรศัพท์จอแตก-โคราช | /รับซื้อโทรศัพท์มือถือ-โคราช","candidate","3","28","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"MOBILE-APPLE","/รับซื้อโทรศัพท์-samsung-โคราช","Product category","/รับซื้อโทรศัพท์มือถือ-โคราช","รับซื้อโทรศัพท์ Samsung โคราช ประเมินผ่าน LINE","mobile apple; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","MOBILE-APPLE","none","รับซื้อโทรศัพท์ Samsung โคราช | Galaxy ประเมินผ่าน LINE | WINNER IT","รับซื้อโทรศัพท์ Samsung โคราช ประเมินผ่าน LINE","/รับซื้อ-apple-watch-โคราช | /รับซื้อ-imac-mac-mini-โคราช | /รับซื้อ-ipad-โคราช | /รับซื้อ-iphone-โคราช | /รับซื้อ-macbook-โคราช | /รับซื้อแท็บเล็ต-โคราช | /รับซื้อโทรศัพท์-android-โคราช | /รับซื้อโทรศัพท์-oppo-โคราช | /รับซื้อโทรศัพท์-vivo-โคราช | /รับซื้อโทรศัพท์-xiaomi-redmi-poco-โคราช | /รับซื้อโทรศัพท์จอแตก-โคราช | /รับซื้อโทรศัพท์มือถือ-โคราช","candidate","3","27","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"MOBILE-APPLE","/รับซื้อโทรศัพท์-vivo-โคราช","Product category","/รับซื้อโทรศัพท์มือถือ-โคราช","รับซื้อโทรศัพท์ vivo โคราช ประเมินผ่าน LINE","mobile apple; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","MOBILE-APPLE","none","รับซื้อโทรศัพท์ vivo โคราช | ประเมินผ่าน LINE | WINNER IT","รับซื้อโทรศัพท์ vivo โคราช ประเมินผ่าน LINE","/รับซื้อ-apple-watch-โคราช | /รับซื้อ-imac-mac-mini-โคราช | /รับซื้อ-ipad-โคราช | /รับซื้อ-iphone-โคราช | /รับซื้อ-macbook-โคราช | /รับซื้อแท็บเล็ต-โคราช | /รับซื้อโทรศัพท์-android-โคราช | /รับซื้อโทรศัพท์-oppo-โคราช | /รับซื้อโทรศัพท์-samsung-โคราช | /รับซื้อโทรศัพท์-xiaomi-redmi-poco-โคราช | /รับซื้อโทรศัพท์จอแตก-โคราช | /รับซื้อโทรศัพท์มือถือ-โคราช","candidate","1","28","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"MOBILE-APPLE","/รับซื้อโทรศัพท์-xiaomi-redmi-poco-โคราช","Product category","/รับซื้อโทรศัพท์มือถือ-โคราช","รับซื้อโทรศัพท์ Xiaomi Redmi POCO โคราช ประเมินผ่าน LINE","mobile apple; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","MOBILE-APPLE","none","รับซื้อโทรศัพท์ Xiaomi Redmi POCO โคราช | ประเมินผ่าน LINE | WINNER IT","รับซื้อโทรศัพท์ Xiaomi Redmi POCO โคราช ประเมินผ่าน LINE","/รับซื้อ-apple-watch-โคราช | /รับซื้อ-imac-mac-mini-โคราช | /รับซื้อ-ipad-โคราช | /รับซื้อ-iphone-โคราช | /รับซื้อ-macbook-โคราช | /รับซื้อแท็บเล็ต-โคราช | /รับซื้อโทรศัพท์-android-โคราช | /รับซื้อโทรศัพท์-oppo-โคราช | /รับซื้อโทรศัพท์-samsung-โคราช | /รับซื้อโทรศัพท์-vivo-โคราช | /รับซื้อโทรศัพท์จอแตก-โคราช | /รับซื้อโทรศัพท์มือถือ-โคราช","candidate","1","28","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"MOBILE-APPLE","/รับซื้อโทรศัพท์จอแตก-โคราช","Product condition","/รับซื้อโทรศัพท์มือถือ-โคราช","รับซื้อโทรศัพท์จอแตก โคราช","mobile apple; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","MOBILE-APPLE","รับซื้อโทรศัพท์จอแตก โคราช","รับซื้อโทรศัพท์จอแตก โคราช | WINNER IT","รับซื้อโทรศัพท์จอแตก โคราช","/รับซื้อ-apple-watch-โคราช | /รับซื้อ-imac-mac-mini-โคราช | /รับซื้อ-ipad-โคราช | /รับซื้อ-iphone-โคราช | /รับซื้อ-macbook-โคราช | /รับซื้อแท็บเล็ต-โคราช | /รับซื้อโทรศัพท์-android-โคราช | /รับซื้อโทรศัพท์-oppo-โคราช | /รับซื้อโทรศัพท์-samsung-โคราช | /รับซื้อโทรศัพท์-vivo-โคราช | /รับซื้อโทรศัพท์-xiaomi-redmi-poco-โคราช | /รับซื้อโทรศัพท์มือถือ-โคราช","low/unverified","7","21","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"MOBILE-APPLE","/รับซื้อโทรศัพท์มือถือ-โคราช","Product category","/รับซื้อโทรศัพท์มือถือ-โคราช","รับซื้อโทรศัพท์มือถือ โคราช ประเมินผ่าน LINE นัดรับตามสะดวก","mobile apple; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","MOBILE-APPLE","none","รับซื้อโทรศัพท์มือถือ โคราช | ทุกยี่ห้อ ประเมินผ่าน LINE | WINNER IT","รับซื้อโทรศัพท์มือถือ โคราช ประเมินผ่าน LINE นัดรับตามสะดวก","/รับซื้อ-apple-watch-โคราช | /รับซื้อ-imac-mac-mini-โคราช | /รับซื้อ-ipad-โคราช | /รับซื้อ-iphone-โคราช | /รับซื้อ-macbook-โคราช | /รับซื้อแท็บเล็ต-โคราช | /รับซื้อโทรศัพท์-android-โคราช | /รับซื้อโทรศัพท์-oppo-โคราช | /รับซื้อโทรศัพท์-samsung-โคราช | /รับซื้อโทรศัพท์-vivo-โคราช | /รับซื้อโทรศัพท์-xiaomi-redmi-poco-โคราช | /รับซื้อโทรศัพท์จอแตก-โคราช","candidate","9","28","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"OTHER-PRODUCT","/รับซื้อโน๊ตบุ๊ค-โคราช","Product category","/รับซื้อสินค้าไอที","รับซื้อโน๊ตบุ๊ค โคราช ประเมินผ่าน LINE นัดรับตามสะดวก","other product; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","OTHER-PRODUCT","none","รับซื้อโน๊ตบุ๊ค โคราช | ทุกยี่ห้อ ประเมินผ่าน LINE | WINNER IT","รับซื้อโน๊ตบุ๊ค โคราช ประเมินผ่าน LINE นัดรับตามสะดวก","/รับซื้อสินค้าไอทีไม่มีอุปกรณ์-โคราช | /รับซื้อสินค้าไอทีไม่ได้ใช้งาน-โคราช | /รับซื้อโน๊ตบุ๊คจอแตก-โคราช | /รับซื้อโน๊ตบุ๊คเกมมิ่ง-โคราช | /รับซื้อโน๊ตบุ๊คเปิดไม่ติด-โคราช | /รับซื้อโน๊ตบุ๊คเสีย-โคราช","candidate","88","26","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"OTHER-PRODUCT","/รับซื้อโน๊ตบุ๊คจอแตก-โคราช","Product condition","/รับซื้อสินค้าไอที","รับซื้อโน๊ตบุ๊คจอแตก โคราช","other product; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","OTHER-PRODUCT","รับซื้อโน๊ตบุ๊คจอแตก โคราช","รับซื้อโน๊ตบุ๊คจอแตก โคราช | WINNER IT","รับซื้อโน๊ตบุ๊คจอแตก โคราช","/รับซื้อจอมอนิเตอร์-โคราช | /รับซื้อลำโพง-โคราช | /รับซื้อสินค้าไอทีไม่มีอุปกรณ์-โคราช | /รับซื้อสินค้าไอทีไม่ได้ใช้งาน-โคราช | /รับซื้อหูฟัง-โคราช | /รับซื้อโน๊ตบุ๊ค-โคราช | /รับซื้อโน๊ตบุ๊คเกมมิ่ง-โคราช | /รับซื้อโน๊ตบุ๊คเปิดไม่ติด-โคราช | /รับซื้อโน๊ตบุ๊คเสีย-โคราช","candidate","1","21","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"OTHER-PRODUCT","/รับซื้อโน๊ตบุ๊คเกมมิ่ง-โคราช","Product category","/รับซื้อสินค้าไอที","รับซื้อโน๊ตบุ๊คเกมมิ่ง โคราช ประเมินผ่าน LINE","other product; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","OTHER-PRODUCT","none","รับซื้อโน๊ตบุ๊คเกมมิ่ง โคราช | ประเมินผ่าน LINE | WINNER IT","รับซื้อโน๊ตบุ๊คเกมมิ่ง โคราช ประเมินผ่าน LINE","/รับซื้อจอมอนิเตอร์-โคราช | /รับซื้อสินค้าไอทีไม่มีอุปกรณ์-โคราช | /รับซื้อสินค้าไอทีไม่ได้ใช้งาน-โคราช | /รับซื้อหูฟัง-โคราช | /รับซื้อโน๊ตบุ๊ค-โคราช | /รับซื้อโน๊ตบุ๊คจอแตก-โคราช | /รับซื้อโน๊ตบุ๊คเปิดไม่ติด-โคราช | /รับซื้อโน๊ตบุ๊คเสีย-โคราช","candidate","4","25","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"OTHER-PRODUCT","/รับซื้อโน๊ตบุ๊คเปิดไม่ติด-โคราช","Product condition","/รับซื้อสินค้าไอที","รับซื้อโน๊ตบุ๊คเปิดไม่ติด โคราช","other product; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","OTHER-PRODUCT","รับซื้อโน๊ตบุ๊คเปิดไม่ติด โคราช","รับซื้อโน๊ตบุ๊คเปิดไม่ติด โคราช | WINNER IT","รับซื้อโน๊ตบุ๊คเปิดไม่ติด โคราช","/รับซื้อจอมอนิเตอร์-โคราช | /รับซื้อลำโพง-โคราช | /รับซื้อสินค้าไอทีไม่มีอุปกรณ์-โคราช | /รับซื้อสินค้าไอทีไม่ได้ใช้งาน-โคราช | /รับซื้อโน๊ตบุ๊ค-โคราช | /รับซื้อโน๊ตบุ๊คจอแตก-โคราช | /รับซื้อโน๊ตบุ๊คเกมมิ่ง-โคราช | /รับซื้อโน๊ตบุ๊คเสีย-โคราช","candidate","1","21","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"OTHER-PRODUCT","/รับซื้อโน๊ตบุ๊คเสีย-โคราช","Product condition","/รับซื้อสินค้าไอที","รับซื้อโน๊ตบุ๊คเสีย โคราช","other product; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","OTHER-PRODUCT","รับซื้อโน๊ตบุ๊คเสีย โคราช","รับซื้อโน๊ตบุ๊คเสีย โคราช ประเมินโน๊ตบุ๊คอาการเสีย | WINNER IT","รับซื้อโน๊ตบุ๊คเสีย โคราช","/รับซื้อสินค้าไอทีไม่มีอุปกรณ์-โคราช | /รับซื้อสินค้าไอทีไม่ได้ใช้งาน-โคราช | /รับซื้อโน๊ตบุ๊ค-โคราช | /รับซื้อโน๊ตบุ๊คจอแตก-โคราช | /รับซื้อโน๊ตบุ๊คเกมมิ่ง-โคราช | /รับซื้อโน๊ตบุ๊คเปิดไม่ติด-โคราช","candidate","1","21","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"SELLER-JOURNEY","/วิธีขายสินค้า","Seller intent","/รับซื้อสินค้าไอที","วิธีขายสินค้าไอที","seller journey; transactional","Transactional","Decision","Primary LINE/phone conversion","none explicit","SELLER-JOURNEY","none","วิธีขายสินค้าไอที โคราช ขั้นตอนขายกับ WINNER IT","วิธีขายสินค้าไอที","/บริการรับซื้อถึงที่โคราช | /วิธีประเมินราคา | /ส่งสินค้าไอทีมาประเมิน","candidate","88","21","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"SELLER-JOURNEY","/วิธีประเมินราคา","Seller intent","/รับซื้อสินค้าไอที","วิธีประเมินราคาสินค้าไอที","seller journey; transactional","Transactional","Decision","Primary LINE/phone conversion","none explicit","SELLER-JOURNEY","none","วิธีประเมินราคาสินค้าไอที โคราช | WINNER IT","วิธีประเมินราคาสินค้าไอที","/บริการรับซื้อถึงที่โคราช | /วิธีขายสินค้า | /ส่งสินค้าไอทีมาประเมิน","candidate","20","21","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"SELLER-JOURNEY","/ส่งสินค้าไอทีมาประเมิน","Seller intent","/รับซื้อสินค้าไอที","ส่งสินค้าไอทีมาประเมิน","seller journey; transactional","Transactional","Decision","Primary LINE/phone conversion","none explicit","SELLER-JOURNEY","none","ส่งสินค้าไอทีมาประเมิน โคราช | WINNER IT","ส่งสินค้าไอทีมาประเมิน","/บริการรับซื้อถึงที่โคราช | /วิธีขายสินค้า | /วิธีประเมินราคา","candidate","88","21","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"TRUST-ABOUT","/เกี่ยวกับเรา","About","/","เกี่ยวกับ WINNER IT","trust about; trust","Trust","Trust","Assisted conversion / trust","none explicit","TRUST-ABOUT","none","เกี่ยวกับเรา | WINNER IT","เกี่ยวกับ WINNER IT","","low/unverified","88","21","Retain; validate query ownership before structural action","Source evidence","No","P2","No volume, CPC, ranking or traffic estimate asserted"
