"Cluster","URL A","URL B","Candidate Type","Intent Relationship","Title similarity","H1 similarity","Raw Body Similarity","Boilerplate-adjusted Similarity","FAQ Similarity","Shared Product Entity","Shared Condition Entity","Shared Geographic Entity","Same Parent Hub","Internal anchor conflict","Query Evidence Available","Decision Eligible","Review Priority","Risk","Recommended winner","Recommended action","Requires GSC","Reason","Validation method"
"MOBILE-APPLE","/รับซื้อ-imac-mac-mini-โคราช","/รับซื้อโทรศัพท์-samsung-โคราช","Internal-link overlap","sibling-distinct","0.727","0.706","0.836","0.537","0.835","none","none","โคราช","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.836; adjusted=0.537; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อ-imac-mac-mini-โคราช","/รับซื้อโทรศัพท์-vivo-โคราช","Internal-link overlap","sibling-distinct","0.762","0.706","0.85","0.499","0.854","none","none","โคราช","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.85; adjusted=0.499; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อ-ipad-โคราช","/รับซื้อ-iphone-โคราช","Internal-link overlap","sibling-distinct","0.917","0.9","0.839","0.571","0.844","none","none","โคราช","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.839; adjusted=0.571; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อ-ipad-โคราช","/รับซื้อ-macbook-โคราช","Internal-link overlap","sibling-distinct","0.917","0.9","0.843","0.634","0.889","none","none","โคราช","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.843; adjusted=0.634; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อ-ipad-โคราช","/รับซื้อโทรศัพท์-android-โคราช","Internal-link overlap","sibling-distinct","0.727","0.667","0.828","0.463","0.835","none","none","โคราช","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.828; adjusted=0.463; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อ-ipad-โคราช","/รับซื้อโทรศัพท์-oppo-โคราช","Internal-link overlap","sibling-distinct","0.727","0.667","0.849","0.479","0.864","none","none","โคราช","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.849; adjusted=0.479; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อ-ipad-โคราช","/รับซื้อโทรศัพท์-vivo-โคราช","Internal-link overlap","sibling-distinct","0.727","0.667","0.847","0.458","0.874","none","none","โคราช","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.847; adjusted=0.458; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อ-iphone-โคราช","/รับซื้อ-macbook-โคราช","Internal-link overlap","sibling-distinct","0.917","0.9","0.819","0.575","0.826","none","none","โคราช","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.819; adjusted=0.575; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อ-iphone-โคราช","/รับซื้อแท็บเล็ต-โคราช","Internal-link overlap","sibling-distinct","0.696","0.9","0.828","0.496","0.854","none","none","โคราช","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.828; adjusted=0.496; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อ-iphone-โคราช","/รับซื้อโทรศัพท์-android-โคราช","Internal-link overlap","sibling-distinct","0.727","0.667","0.835","0.513","0.817","none","none","โคราช","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.835; adjusted=0.513; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อ-iphone-โคราช","/รับซื้อโทรศัพท์-oppo-โคราช","Internal-link overlap","sibling-distinct","0.727","0.667","0.854","0.54","0.867","none","none","โคราช","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.854; adjusted=0.54; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อ-iphone-โคราช","/รับซื้อโทรศัพท์-vivo-โคราช","Internal-link overlap","sibling-distinct","0.727","0.667","0.85","0.516","0.876","none","none","โคราช","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.85; adjusted=0.516; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อ-macbook-โคราช","/รับซื้อแท็บเล็ต-โคราช","Internal-link overlap","sibling-distinct","0.696","0.9","0.834","0.588","0.876","none","none","โคราช","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.834; adjusted=0.588; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อ-macbook-โคราช","/รับซื้อโทรศัพท์-android-โคราช","Internal-link overlap","sibling-distinct","0.727","0.667","0.813","0.505","0.817","none","none","โคราช","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.813; adjusted=0.505; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อ-macbook-โคราช","/รับซื้อโทรศัพท์-oppo-โคราช","Internal-link overlap","sibling-distinct","0.727","0.667","0.831","0.523","0.844","none","none","โคราช","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.831; adjusted=0.523; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อ-macbook-โคราช","/รับซื้อโทรศัพท์-vivo-โคราช","Internal-link overlap","sibling-distinct","0.727","0.667","0.829","0.499","0.854","none","none","โคราช","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.829; adjusted=0.499; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"GAMING","/รับซื้อ-nintendo-switch-โคราช","/รับซื้อ-playstation-โคราช","Low relevance similarity","sibling-distinct","0.636","0.667","0.944","0.772","0.941","none","none","โคราช","Yes","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.944; adjusted=0.772; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"COMPUTER","/รับซื้อ-server-network-โคราช","/รับซื้อคอมเก่า-โคราช","Low relevance similarity","sibling-distinct","0.455","0.6","0.935","0.724","0.625","none","none","โคราช","Yes","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.935; adjusted=0.724; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"B2B","/รับซื้อคอมบริษัท-โคราช","/รับซื้ออุปกรณ์สำนักงาน","Low relevance similarity","sibling-distinct","0.625","0.444","0.968","0.727","0.519","none","none","none","Yes","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.968; adjusted=0.727; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"COMPUTER","/รับซื้อคอมประกอบ-โคราช","/รับซื้อคอมเกมมิ่ง-โคราช","Internal-link overlap","sibling-distinct","0.741","0.696","0.913","0.717","0.804","none","none","โคราช","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.913; adjusted=0.717; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"OTHER-PRODUCT","/รับซื้อจอมอนิเตอร์-โคราช","/รับซื้อหูฟัง-โคราช","Low relevance similarity","sibling-distinct","0.72","0.6","0.921","0.697","0.815","none","none","โคราช","Yes","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.921; adjusted=0.697; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"OTHER-PRODUCT","/รับซื้อลำโพง-โคราช","/รับซื้อสินค้าไอทีไม่มีอุปกรณ์-โคราช","Low relevance similarity","sibling-distinct","0.5","0.545","0.953","0.8","0.776","none","none","โคราช","Yes","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.953; adjusted=0.8; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"OTHER-PRODUCT","/รับซื้อลำโพง-โคราช","/รับซื้อสินค้าไอทีไม่ได้ใช้งาน-โคราช","Low relevance similarity","sibling-distinct","0.476","0.5","0.954","0.812","0.784","none","none","โคราช","Yes","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.954; adjusted=0.812; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"OTHER-PRODUCT","/รับซื้อลำโพง-โคราช","/รับซื้อหูฟัง-โคราช","Low relevance similarity","sibling-distinct","0.583","0.667","0.95","0.792","0.941","none","none","โคราช","Yes","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.95; adjusted=0.792; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"OTHER-PRODUCT","/รับซื้อลำโพง-โคราช","/รับซื้อโน๊ตบุ๊คจอแตก-โคราช","Low relevance similarity","sibling-distinct","0.5","0.545","0.951","0.793","0.731","none","none","โคราช","Yes","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.951; adjusted=0.793; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"OTHER-PRODUCT","/รับซื้อลำโพง-โคราช","/รับซื้อโน๊ตบุ๊คเปิดไม่ติด-โคราช","Low relevance similarity","sibling-distinct","0.476","0.5","0.941","0.749","0.717","none","none","โคราช","Yes","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.941; adjusted=0.749; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"B2B","/รับซื้อสินค้าไอทียกล็อต","/รับซื้ออุปกรณ์สำนักงาน","Parent-child overlap","parent-child","0.588","0.364","0.954","0.81","1","none","none","none","Yes","not detected","No","No","P2 review","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.954; adjusted=0.81; relationship=parent-child","28+ days GSC query/page data plus operational and conversion evidence"
"OTHER-PRODUCT","/รับซื้อสินค้าไอทีไม่มีอุปกรณ์-โคราช","/รับซื้อสินค้าไอทีไม่ได้ใช้งาน-โคราช","Low relevance similarity","sibling-distinct","0.737","0.667","0.961","0.833","0.92","none","none","โคราช","Yes","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.961; adjusted=0.833; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"OTHER-PRODUCT","/รับซื้อสินค้าไอทีไม่มีอุปกรณ์-โคราช","/รับซื้อหูฟัง-โคราช","Low relevance similarity","sibling-distinct","0.455","0.5","0.965","0.804","0.76","none","none","โคราช","Yes","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.965; adjusted=0.804; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"OTHER-PRODUCT","/รับซื้อสินค้าไอทีไม่มีอุปกรณ์-โคราช","/รับซื้อโน๊ตบุ๊คจอแตก-โคราช","Low relevance similarity","sibling-distinct","0.556","0.429","0.961","0.822","0.902","none","none","โคราช","Yes","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.961; adjusted=0.822; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"OTHER-PRODUCT","/รับซื้อสินค้าไอทีไม่มีอุปกรณ์-โคราช","/รับซื้อโน๊ตบุ๊คเปิดไม่ติด-โคราช","Low relevance similarity","sibling-distinct","0.526","0.4","0.953","0.776","0.885","none","none","โคราช","Yes","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.953; adjusted=0.776; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"OTHER-PRODUCT","/รับซื้อสินค้าไอทีไม่ได้ใช้งาน-โคราช","/รับซื้อหูฟัง-โคราช","Low relevance similarity","sibling-distinct","0.435","0.462","0.964","0.836","0.769","none","none","โคราช","Yes","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.964; adjusted=0.836; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"OTHER-PRODUCT","/รับซื้อสินค้าไอทีไม่ได้ใช้งาน-โคราช","/รับซื้อโน๊ตบุ๊คจอแตก-โคราช","Low relevance similarity","sibling-distinct","0.526","0.4","0.962","0.825","0.868","none","none","โคราช","Yes","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.962; adjusted=0.825; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"OTHER-PRODUCT","/รับซื้อสินค้าไอทีไม่ได้ใช้งาน-โคราช","/รับซื้อโน๊ตบุ๊คเปิดไม่ติด-โคราช","Low relevance similarity","sibling-distinct","0.6","0.5","0.954","0.786","0.889","none","none","โคราช","Yes","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.954; adjusted=0.786; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"OTHER-PRODUCT","/รับซื้อหูฟัง-โคราช","/รับซื้อโน๊ตบุ๊คจอแตก-โคราช","Low relevance similarity","sibling-distinct","0.455","0.5","0.953","0.787","0.717","none","none","โคราช","Yes","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.953; adjusted=0.787; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"OTHER-PRODUCT","/รับซื้อหูฟัง-โคราช","/รับซื้อโน๊ตบุ๊คเปิดไม่ติด-โคราช","Low relevance similarity","sibling-distinct","0.435","0.462","0.945","0.751","0.704","none","none","โคราช","Yes","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.945; adjusted=0.751; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"OFFICE","/รับซื้ออุปกรณ์-pos-โคราช","/รับซื้อเครื่องปริ้น-โคราช","Low relevance similarity","sibling-distinct","0.545","0.6","0.941","0.829","0.955","none","none","โคราช","Yes","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.941; adjusted=0.829; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"COMPUTER","/รับซื้อเมนบอร์ด-โคราช","/รับซื้อแรม-โคราช","Low relevance similarity","sibling-distinct","0.609","0.75","0.87","0.661","0.963","none","none","โคราช","Yes","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.87; adjusted=0.661; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อแท็บเล็ต-โคราช","/รับซื้อโทรศัพท์-android-โคราช","Internal-link overlap","sibling-distinct","0.762","0.667","0.881","0.602","0.867","none","none","โคราช","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.881; adjusted=0.602; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อแท็บเล็ต-โคราช","/รับซื้อโทรศัพท์-oppo-โคราช","Internal-link overlap","sibling-distinct","0.762","0.667","0.9","0.619","0.874","none","none","โคราช","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.9; adjusted=0.619; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อแท็บเล็ต-โคราช","/รับซื้อโทรศัพท์-samsung-โคราช","Internal-link overlap","sibling-distinct","0.818","0.667","0.88","0.612","0.864","none","none","โคราช","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.88; adjusted=0.612; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อแท็บเล็ต-โคราช","/รับซื้อโทรศัพท์-vivo-โคราช","Internal-link overlap","sibling-distinct","0.762","0.667","0.894","0.595","0.884","none","none","โคราช","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.894; adjusted=0.595; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อแท็บเล็ต-โคราช","/รับซื้อโทรศัพท์มือถือ-โคราช","Parent-child overlap","parent-child","0.667","0.818","0.883","0.584","0.909","none","none","โคราช","Yes","shared contextual targets","No","No","P2 review","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.883; adjusted=0.584; relationship=parent-child","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อโทรศัพท์-oppo-โคราช","/รับซื้อโทรศัพท์-samsung-โคราช","Potential cannibalization","sibling-distinct","0.857","0.875","0.913","0.702","0.921","โทรศัพท์","none","โคราช","Yes","shared contextual targets","No","No","P1 review","requires GSC","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.913; adjusted=0.702; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อโทรศัพท์-oppo-โคราช","/รับซื้อโทรศัพท์-vivo-โคราช","Potential cannibalization","sibling-distinct","0.9","0.875","0.963","0.878","0.966","โทรศัพท์","none","โคราช","Yes","shared contextual targets","No","No","P1 review","requires GSC","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.963; adjusted=0.878; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อโทรศัพท์-oppo-โคราช","/รับซื้อโทรศัพท์-xiaomi-redmi-poco-โคราช","Potential cannibalization","sibling-distinct","0.818","0.778","0.934","0.78","0.923","โทรศัพท์","none","โคราช","Yes","shared contextual targets","No","No","P1 review","requires GSC","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.934; adjusted=0.78; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อโทรศัพท์-oppo-โคราช","/รับซื้อโทรศัพท์มือถือ-โคราช","Parent-child overlap","parent-child","0.783","0.7","0.917","0.663","0.876","โทรศัพท์","none","โคราช","Yes","shared contextual targets","No","No","P2 review","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.917; adjusted=0.663; relationship=parent-child","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อโทรศัพท์-samsung-โคราช","/รับซื้อโทรศัพท์-vivo-โคราช","Potential cannibalization","sibling-distinct","0.857","0.875","0.905","0.697","0.932","โทรศัพท์","none","โคราช","Yes","shared contextual targets","No","No","P1 review","requires GSC","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.905; adjusted=0.697; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อโทรศัพท์-samsung-โคราช","/รับซื้อโทรศัพท์-xiaomi-redmi-poco-โคราช","Potential cannibalization","sibling-distinct","0.783","0.778","0.893","0.663","0.891","โทรศัพท์","none","โคราช","Yes","shared contextual targets","No","No","P1 review","requires GSC","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.893; adjusted=0.663; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อโทรศัพท์-samsung-โคราช","/รับซื้อโทรศัพท์มือถือ-โคราช","Parent-child overlap","parent-child","0.75","0.7","0.883","0.573","0.867","โทรศัพท์","none","โคราช","Yes","shared contextual targets","No","No","P2 review","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.883; adjusted=0.573; relationship=parent-child","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อโทรศัพท์-vivo-โคราช","/รับซื้อโทรศัพท์-xiaomi-redmi-poco-โคราช","Potential cannibalization","sibling-distinct","0.818","0.778","0.93","0.775","0.933","โทรศัพท์","none","โคราช","Yes","shared contextual targets","No","No","P1 review","requires GSC","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.93; adjusted=0.775; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อโทรศัพท์-vivo-โคราช","/รับซื้อโทรศัพท์มือถือ-โคราช","Parent-child overlap","parent-child","0.783","0.7","0.91","0.641","0.886","โทรศัพท์","none","โคราช","Yes","shared contextual targets","No","No","P2 review","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.91; adjusted=0.641; relationship=parent-child","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อโทรศัพท์-xiaomi-redmi-poco-โคราช","/รับซื้อโทรศัพท์มือถือ-โคราช","Parent-child overlap","parent-child","0.72","0.636","0.907","0.649","0.848","โทรศัพท์","none","โคราช","Yes","shared contextual targets","No","No","P2 review","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.907; adjusted=0.649; relationship=parent-child","28+ days GSC query/page data plus operational and conversion evidence"
"OTHER-PRODUCT","/รับซื้อโน๊ตบุ๊คจอแตก-โคราช","/รับซื้อโน๊ตบุ๊คเปิดไม่ติด-โคราช","Potential cannibalization","sibling-distinct","0.737","0.667","0.949","0.778","0.909","โน๊ตบุ๊ค","none","โคราช","Yes","not detected","No","No","P1 review","requires GSC","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.949; adjusted=0.778; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"OTHER-PRODUCT","/รับซื้อโน๊ตบุ๊คจอแตก-โคราช","/รับซื้อโน๊ตบุ๊คเสีย-โคราช","Potential cannibalization","sibling-distinct","0.667","0.769","0.929","0.712","0.962","โน๊ตบุ๊ค","none","โคราช","Yes","not detected","No","No","P1 review","requires GSC","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.929; adjusted=0.712; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"OTHER-PRODUCT","/รับซื้อโน๊ตบุ๊คเปิดไม่ติด-โคราช","/รับซื้อโน๊ตบุ๊คเสีย-โคราช","Potential cannibalization","sibling-distinct","0.636","0.714","0.928","0.73","0.943","โน๊ตบุ๊ค","none","โคราช","Yes","not detected","No","No","P1 review","requires GSC","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.928; adjusted=0.73; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"SELLER-JOURNEY","/วิธีขายสินค้า","/วิธีประเมินราคา","Low relevance similarity","sibling-distinct","0.667","0.667","0.965","0.837","1","none","none","none","Yes","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.965; adjusted=0.837; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"SELLER-JOURNEY","/วิธีขายสินค้า","/ส่งสินค้าไอทีมาประเมิน","Low relevance similarity","sibling-distinct","0.556","0.444","0.981","0.793","1","none","none","none","Yes","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.981; adjusted=0.793; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"SELLER-JOURNEY","/วิธีประเมินราคา","/ส่งสินค้าไอทีมาประเมิน","Low relevance similarity","sibling-distinct","0.75","0.6","0.972","0.81","1","none","none","none","Yes","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.972; adjusted=0.81; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
